Date / Time,CPU Usage %,Temperature C
2022-05-10 23:18:12.789801,0.4,55.3
2022-05-10 23:18:23.010187,0.4,55.3
2022-05-10 23:18:33.241882,0.4,55.8
2022-05-10 23:18:43.491490,0.4,55.8
2022-05-10 23:18:53.724691,0.3,55.8
2022-05-10 23:19:04.182423,0.4,55.3
2022-05-10 23:19:14.418422,0.5,55.8
2022-05-10 23:19:24.654946,0.5,55.8
2022-05-10 23:19:34.892883,0.3,55.8
2022-05-10 23:19:45.131532,0.4,55.8
2022-05-10 23:19:55.380521,0.4,55.3
2022-05-10 23:20:05.635716,0.5,54.8
2022-05-10 23:20:15.974673,0.5,55.3
2022-05-10 23:20:26.211844,0.4,55.3
2022-05-10 23:20:36.452193,0.5,55.8
2022-05-10 23:20:46.688166,0.4,55.8
2022-05-10 23:20:56.907569,0.6,56.4
2022-05-10 23:21:07.293524,0.3,55.8
2022-05-10 23:21:17.531557,0.4,55.8
2022-05-10 23:21:27.782456,0.4,55.8
2022-05-10 23:21:38.096373,0.5,54.8
2022-05-10 23:21:48.328879,0.5,55.8
2022-05-10 23:21:58.604936,0.3,55.8
2022-05-10 23:22:08.844801,0.5,55.8
2022-05-10 23:22:19.150238,0.5,55.8
2022-05-10 23:22:29.381420,0.4,55.8
2022-05-10 23:22:39.665734,0.4,54.8
2022-05-10 23:22:49.983143,0.4,54.8
2022-05-10 23:23:00.216160,0.3,55.3
2022-05-10 23:23:10.595571,0.5,55.3
2022-05-10 23:23:20.817993,0.4,55.8
2022-05-10 23:23:31.080237,0.5,55.8
2022-05-10 23:23:41.343148,0.5,55.3
2022-05-10 23:23:51.589525,0.4,55.8
2022-05-10 23:24:01.826000,0.5,55.3
2022-05-10 23:24:12.270385,0.5,54.8
2022-05-10 23:24:22.495945,0.5,55.3
2022-05-10 23:24:32.755261,0.5,55.8
2022-05-10 23:24:43.078576,0.3,55.8
2022-05-10 23:24:53.313580,0.5,55.3
2022-05-10 23:25:03.549161,0.3,54.8
